Model,NormalLength,NormalWidth,NormalArea,BuffedLength,BuffedWidth,BuffedArea,XOffset,NormalXHS,X_Vector,Yoffset,NormalYHS,Y_Vector,Zrotation
MCM_Sizes,"360.000000","230.000000","82800.000000","440.000000","310.000000","136400.000000","70.000000","180.000000","110.000000","30.000000","115.000000","-85.000000","0.000000"
SCM_Sizes,"520.000000","270.000000","140400.000000","600.000000","350.000000","210000.000000","470.000000","260.000000","-210.000000","120.000000","135.000000","-15.000000","-180.000000"
LCM_Sizes,"530.000000","310.000000","164300.000000","610.000000","390.000000","237900.000000","360.000000","265.000000","-95.000000","160.000000","155.000000","5.000000","0.000000"
SHM_Sizes,"400.000000","540.000000","216000.000000","480.000000","620.000000","297600.000000","190.000000","200.000000","10.000000","280.000000","270.000000","10.000000","0.000000"
LHM_Sizes,"540.000000","480.000000","259200.000000","620.000000","560.000000","347200.000000","230.000000","270.000000","40.000000","380.000000","240.000000","140.000000","-90.000000"
MWM_Sizes,"200.000000","200.000000","40000.000000","280.000000","280.000000","78400.000000","120.000000","100.000000","-20.000000","80.000000","100.000000","-20.000000","0.000000"
SWM_Sizes,"400.000000","430.000000","172000.000000","480.000000","510.000000","244800.000000","140.000000","200.000000","60.000000","60.000000","215.000000","-155.000000","-90.000000"
LWM_Sizes,"480.000000","580.000000","278400.000000","560.000000","660.000000","369600.000000","360.000000","240.000000","-120.000000","160.000000","290.000000","-130.000000","0.000000"
MPM_Sizes,"210.000000","420.000000","88200.000000","290.000000","500.000000","145000.000000","310.000000","105.000000","-205.000000","80.000000","210.000000","-130.000000","-90.000000"
SPM_Sizes,"370.000000","290.000000","107300.000000","450.000000","370.000000","166500.000000","160.000000","185.000000","25.000000","100.000000","145.000000","-45.000000","0.000000"
LPM_Sizes,"440.000000","380.000000","167200.000000","520.000000","460.000000","239200.000000","180.000000","220.000000","40.000000","210.000000","190.000000","20.000000","0.000000"
BI_Sizes,"480.000000","390.000000","187200.000000","560.000000","470.000000","263200.000000","240.000000","240.000000","0.000000","230.000000","195.000000","35.000000","0.000000"
BWB_Sizes,"400.000000","230.000000","92000.000000","480.000000","310.000000","148800.000000","140.000000","200.000000","60.000000","80.000000","115.000000","-35.000000","0.000000"
BT_Sizes,"690.000000","500.000000","345000.000000","770.000000","580.000000","446600.000000","220.000000","345.000000","125.000000","350.000000","250.000000","100.000000","0.000000"
AW_Sizes,"300.000000","150.000000","45000.000000","380.000000","230.000000","87400.000000","180.000000","150.000000","-30.000000","80.000000","75.000000","5.000000","0.000000"
AT_Sizes,"400.000000","400.000000","160000.000000","480.000000","480.000000","230400.000000","200.000000","200.000000","0.000000","210.000000","200.000000","10.000000","0.000000"
